time,msl,t2m,u10,v10,h700,tcc
1984-09-01,101549.0,289.5979,1.3804651,1.647865,3136.9321,0.12735282
1984-10-01,101481.9,291.0569,2.0632586,1.6087455,3138.779,0.24596481
1984-11-01,101492.86,291.8628,2.280331,1.4349822,3137.2837,0.11499741
1984-12-01,101171.33,293.45908,2.4361014,1.2970022,3123.7961,0.14186555
1985-01-01,101377.75,293.7689,2.5748897,1.1001909,3133.7341,0.113182485
1985-02-01,101177.31,294.12622,2.511467,1.4093568,3129.7725,0.13251625
1985-03-01,101190.8,294.061,2.2790031,1.1682713,3132.8794,0.15313944
1985-04-01,101343.15,292.04944,1.5707331,1.7044218,3139.925,0.08832574
1985-05-01,101441.36,289.82144,0.84999084,1.4974519,3144.266,0.12354082
1985-06-01,101489.59,289.2309,0.3227036,1.4683396,3148.353,0.14851677
1985-07-01,101655.25,287.32788,0.46494174,1.2513622,3133.5193,0.09826537
1985-08-01,101597.02,288.13135,0.683074,1.7926683,3135.4521,0.1457758
1985-09-01,101525.53,289.5716,1.392141,1.5244412,3133.3555,0.114680775
1985-10-01,101455.3,290.9749,1.9642748,1.6358869,3135.6936,0.16003673
1985-11-01,101465.3,291.44418,2.4334483,1.5382392,3135.4873,0.2897643
1985-12-01,101407.85,292.7174,2.4952788,1.265312,3140.6328,0.23870036
1986-01-01,101285.984,293.80856,2.6672387,1.4354367,3138.0146,0.2443473
1986-02-01,101300.33,294.16412,2.5130587,1.3109516,3135.893,0.12982199
1986-03-01,101320.58,293.2697,2.3031514,1.415422,3140.985,0.15650988
1986-04-01,101309.03,291.65985,1.6338916,1.2533338,3136.3364,0.12821689
1986-05-01,101437.67,290.14282,0.88979745,1.3661436,3137.414,0.16851911
1986-06-01,101520.39,288.53845,0.5169537,1.817383,3142.5767,0.119898565
1986-07-01,101608.445,288.1143,0.41982794,1.4966936,3149.5437,0.21194285
1986-08-01,101490.805,288.6496,0.9572004,1.6164784,3134.589,0.19690175
1986-09-01,101534.56,289.77646,1.4555643,1.768863,3137.5222,0.12690458
1986-10-01,101566.664,291.04608,1.920225,1.1988997,3140.322,0.15430489
1986-11-01,101319.81,292.53305,2.2357485,1.7333823,3133.3684,0.21731704
1986-12-01,101262.95,293.6067,2.4828062,1.0123997,3136.9917,0.2840277
1987-01-01,101218.375,294.29413,2.665381,1.1148989,3136.4482,0.25500894
1987-02-01,101060.72,295.64362,2.4485745,1.2170949,3137.7107,0.21406105
1987-03-01,101205.14,294.4525,2.0972261,1.2722869,3132.6401,0.1635407
1987-04-01,101275.89,292.68735,1.5197825,1.3314211,3138.6328,0.124371506
1987-05-01,101424.55,289.92358,0.8292928,1.2660701,3126.0044,0.1140351
1987-06-01,101493.28,289.31183,0.31739616,1.5236833,3150.3865,0.13785326
1987-07-01,101438.45,288.45233,0.39329123,0.63227236,3122.54,0.13629012
1987-08-01,101466.59,289.92822,0.712796,2.0322375,3144.515,0.18316343
1987-09-01,101544.61,290.3543,1.335882,1.3928295,3144.423,0.17631099
1987-10-01,101465.21,291.77515,1.9263281,1.2741065,3139.2483,0.15085435
1987-11-01,101357.664,292.7633,2.3517141,1.4042017,3141.39,0.19109455
1987-12-01,101291.61,293.7459,2.4623733,1.0894258,3141.1763,0.1856412
1988-01-01,101295.55,293.9976,2.6706882,1.2951826,3143.4243,0.18948087
1988-02-01,101179.94,294.7439,2.504302,1.3568943,3137.3477,0.15196255
1988-03-01,101298.83,293.8559,2.1619754,1.4953291,3147.4717,0.20223969
1988-04-01,101377.266,292.4041,1.6490176,1.6510493,3150.1338,0.242479
1988-05-01,101478.34,290.3713,0.87812114,1.4089019,3145.6382,0.20581234
1988-06-01,101646.766,287.79626,0.3648963,1.2709221,3144.6287,0.2507725
1988-07-01,101703.24,287.07147,0.50076604,1.6349769,3145.055,0.16524975
1988-08-01,101615.34,288.4848,0.88130593,1.617085,3152.1729,0.15695241
1988-09-01,101645.29,288.72513,1.4414988,1.2921498,3132.3198,0.11097367
1988-10-01,101469.19,290.8764,1.8732543,1.5621965,3136.3003,0.15558383
1988-11-01,101458.875,291.78067,2.300764,1.2210374,3143.245,0.1660547
1988-12-01,101421.805,292.4259,2.4127493,1.242265,3136.755,0.16905606
1989-01-01,101244.66,293.76035,2.5313687,0.94826156,3133.2803,0.12829988
1989-02-01,101248.58,294.60272,2.5592327,1.2130011,3137.7922,0.12805477
1989-03-01,101332.95,293.5797,2.383559,1.6254244,3137.5688,0.16800028
1989-04-01,101303.62,291.74197,1.7533077,1.3393058,3128.3374,0.14940944
1989-05-01,101529.35,289.7574,1.0238084,1.6991146,3147.2446,0.1400468
1989-06-01,101588.85,288.46625,0.57055867,1.494874,3143.5938,0.22429347
1989-07-01,101629.555,287.98874,0.5522485,1.5317193,3137.9067,0.15773064
1989-08-01,101577.19,288.89157,0.78418064,1.6889559,3144.4844,0.122711085
1989-09-01,101540.05,288.7718,1.4210664,1.7211004,3121.2832,0.092145376
1989-10-01,101490.02,290.92618,1.9990398,1.6032871,3142.7476,0.1711075
1989-11-01,101356.375,292.2962,2.150034,1.2201276,3133.7769,0.11108336
1989-12-01,101447.125,293.1168,2.4021344,1.258034,3140.505,0.0985391
1990-01-01,101115.0,294.41864,2.5727673,1.2970021,3129.4392,0.25098997
1990-02-01,101368.53,294.28998,2.3939075,1.5353584,3148.925,0.22069606
1990-03-01,101268.48,293.66803,2.0269032,1.4600003,3145.6873,0.15664054
1990-04-01,101342.31,291.76456,1.4813043,1.7770505,3139.4497,0.13749084
1990-05-01,101394.28,290.44568,0.5955031,1.7270138,3143.9756,0.25151163
1990-06-01,101472.625,288.92044,0.11677647,1.5139792,3141.7686,0.12828462
1990-07-01,101628.24,287.5156,0.25821877,1.7638593,3140.4243,0.108107746
1990-08-01,101562.086,288.8837,0.7918751,1.5124629,3148.208,0.15366018
1990-09-01,101482.85,290.41425,1.2246922,1.8860698,3142.5332,0.14165859
1990-10-01,101576.125,290.58337,1.9223483,1.9159403,3140.2297,0.11229743
1990-11-01,101340.86,292.01645,2.2819228,1.6493816,3137.376,0.16913617
1990-12-01,101283.99,293.06354,2.4947484,1.2318025,3138.724,0.3063113
1991-01-01,101307.766,293.76913,2.5961199,1.3223237,3139.7874,0.22185482
1991-02-01,101235.69,294.39398,2.4520235,1.3901006,3143.6992,0.14829455
1991-03-01,101259.41,293.5987,2.2649393,1.6422551,3139.586,0.11966586
1991-04-01,101308.67,292.2154,1.5834707,1.8466473,3143.8154,0.11594159
1991-05-01,101371.66,290.80768,0.8494607,1.6783421,3147.5967,0.17339641
1991-06-01,101518.875,289.0687,0.3221724,1.2986696,3140.4087,0.122752085
1991-07-01,101597.67,288.4237,0.611956,1.8769724,3142.4292,0.11126837
1991-08-01,101612.695,288.41647,1.0853736,2.0269308,3139.937,0.29843265
1991-09-01,101483.96,290.26932,1.6214187,1.475921,3139.5898,0.17913398
1991-10-01,101402.44,291.00403,1.8682125,1.7203428,3130.1235,0.12856881
1991-11-01,101341.39,292.05963,2.2962523,1.8260257,3133.414,0.24501969
1991-12-01,101258.375,293.0857,2.4358363,1.1406753,3126.0684,0.16711237
1992-01-01,101198.19,294.352,2.526062,1.4392273,3135.2676,0.3044678
1992-02-01,101227.8,294.59265,2.3336694,1.5459723,3136.2534,0.09454873
1992-03-01,101152.96,294.29218,2.081304,1.4258842,3135.261,0.13406318
1992-04-01,101256.414,292.4901,1.2777671,1.8342135,3129.3062,0.23030764
1992-05-01,101332.586,290.79132,0.80169415,1.9831109,3133.3284,0.12429806
1992-06-01,101431.48,289.1129,0.35773182,1.5415752,3126.6636,0.21463424
1992-07-01,101637.3,288.19153,0.34340215,1.8279972,3136.5493,0.16053362
1992-08-01,101620.37,288.50208,0.631593,1.4997263,3141.9187,0.08717936
1992-09-01,101477.125,289.38156,1.2703363,1.3896458,3126.4224,0.11464739
1992-10-01,101393.92,291.65265,1.8464519,1.4935095,3136.1216,0.20412426
1992-11-01,101284.516,292.64496,2.214253,1.3265691,3133.1382,0.17903957
1992-12-01,101251.25,293.44745,2.385151,1.2377161,3135.1377,0.1976695
1993-01-01,101278.41,294.31885,2.5844436,1.1038301,3140.823,0.36788145
