time,msl,t2m,u10,v10,h700,tcc
1984-08-01,102017.54,279.38147,0.8006325,-0.63213897,3013.3176,0.76861656
1984-09-01,101545.03,282.02692,0.3633051,-2.3764472,3003.0127,0.7644737
1984-10-01,101454.68,282.39154,2.4501672,-2.9611182,2979.6157,0.80227137
1984-11-01,101806.05,284.7719,1.908814,0.36798787,3042.8667,0.6092808
1984-12-01,101503.875,287.11362,1.9130597,0.67548585,3046.695,0.6140608
1985-01-01,101538.38,288.06042,1.5372972,-0.12388778,3058.6982,0.50462747
1985-02-01,101532.125,287.4431,1.8727221,0.32068086,3061.5752,0.540575
1985-03-01,101507.86,285.56863,1.7241173,0.6136224,3039.5938,0.6794516
1985-04-01,101617.09,282.85822,1.8939533,-1.5358312,3012.9583,0.7783102
1985-05-01,101316.695,281.85986,1.840879,-2.7627912,2981.4382,0.851056
1985-06-01,101429.53,282.5354,-0.37972832,-2.9683962,3018.4043,0.89809716
1985-07-01,101743.234,280.1581,-0.20140076,-1.4891303,3013.6833,0.7350457
1985-08-01,102025.266,280.3809,1.4513178,-1.0967219,3021.4214,0.7554362
1985-09-01,101728.29,281.1936,1.3409243,-1.9088321,3006.4832,0.725375
1985-10-01,101650.02,282.6963,0.81018543,-0.7346382,3002.0461,0.6394908
1985-11-01,101604.875,286.0451,1.5680809,0.12053394,3057.1511,0.5128981
1985-12-01,101759.445,286.42776,1.7824984,0.97024727,3065.7144,0.56406695
1986-01-01,101588.28,287.3132,2.1434002,-0.13480473,3049.7004,0.54321104
1986-02-01,101636.59,287.05432,1.6540585,0.4559312,3061.35,0.66819006
1986-03-01,101709.48,285.12723,1.6954575,0.10233855,3054.2974,0.6515687
1986-04-01,101292.51,283.28827,1.0362816,-2.3194356,2998.898,0.77047443
1986-05-01,101193.54,282.0749,1.3472929,-2.8064594,2971.316,0.85612595
1986-06-01,101394.83,279.69193,1.1307516,-2.466817,2964.9397,0.8114576
1986-07-01,101803.89,280.0395,0.5331402,-1.8336258,3022.2485,0.8572246
1986-08-01,101551.43,279.28146,0.3739195,-1.0700352,2985.5454,0.7173065
1986-09-01,101827.32,281.09253,0.65945625,-1.5964823,3012.1746,0.7030313
1986-10-01,101880.14,284.36298,1.0235443,-0.447155,3047.4543,0.7149337
1986-11-01,101418.45,283.76837,2.2951908,-0.9535866,2994.2627,0.6669502
1986-12-01,101678.89,286.4154,2.011777,1.206178,3058.3418,0.56592095
1987-01-01,101615.95,288.0857,1.8918304,0.7409885,3073.2285,0.50637466
1987-02-01,101445.805,287.98666,0.9237633,0.4917152,3068.9773,0.49480033
1987-03-01,101430.164,286.91147,0.73057556,0.087176085,3063.7734,0.5517297
